Time - Plot 0	Amplitude - Plot 0
548	0.00559846
549	0.00377368
550	0.00205309
551	0.00241581
552	0.00571363
553	0.00498675
554	0.00278559
555	0.00505546
556	0.00479169
557	0.00337686
558	0.0040009
559	0.00588839
560	0.00289583
561	0.00562885
562	0.00342995
563	0.00522498
564	0.00486924
565	0.00604164
566	0.00530043
567	0.00362594
568	0.00378362
569	0.00273246
570	0.00528478
571	0.00517574
572	0.00287189
573	0.00427717
574	0.00456425
575	0.00246796
576	0.00641456
577	0.00436538
578	0.00603418
579	0.00491402
580	0.00342299
581	0.00453194
582	0.00411822
583	0.00385368
584	0.00327837
585	0.0042167
586	0.00640643
587	0.00389483
588	0.00673992
589	0.00296141
590	0.00553665
591	0.00383328
592	0.00519385
593	0.003485
594	0.00698482
595	0.00436651
596	0.00467286
597	0.00317741
598	0.00315372
599	0.00320778
600	0.004639
601	0.00287008
602	0.00525335
603	0.00460849
604	0.0045779
605	0.00395881
606	0.00436346
607	0.00231485
608	0.00525627
609	0.00346936
610	0.00519377
611	0.00566043
612	0.00621695
613	0.00428569
614	0.00334034
615	0.00514693
616	0.00302785
617	0.00475384
618	0.0049274
619	0.00229326
620	0.00443268
621	0.00541497
622	0.00211531
623	0.00448792
624	0.00475759
625	0.00283389
626	0.0036861
627	0.00527047
628	0.00337437
629	0.00389566
630	0.00379063
631	0.00363203
632	0.00523017
633	0.0064412
634	0.00313534
635	0.0040503
636	0.00383138
637	0.00478523
638	0.00426461
639	0.0033303
640	0.00489635
641	0.00562134
642	0.00541148
643	0.00407662
644	0.00467462
645	0.00404778
646	0.00190173
647	0.00397661
648	0.00560385
649	0.00570179
650	0.00548736
651	0.00634585
652	0.00366375
653	0.00468087
654	0.00161133
655	0.00462858
656	0.00466148
657	0.00512188
658	0.00524035
659	0.0050866
660	0.00307857
661	0.00289831
662	0.0036654
663	0.00550105
664	0.00457341
665	0.00451328
666	0.00403891
667	0.00620336
668	0.00442195
669	0.00410584
670	0.00353055
671	0.00476333
672	0.00471995
673	0.00290184
674	0.0051507
675	0.0045222
676	0.00540677
677	0.00449459
678	0.00491981
679	0.00313515
680	0.00406015
681	0.00321054
682	0.00530274
683	0.00588264
684	0.00426792
685	0.00165847
686	0.00356975
687	0.00467132
688	0.00346357
689	0.00269055
690	0.0033227
691	0.00401399
692	0.00662833
693	0.00481846
694	0.00426329
695	0.00553281
696	0.0046396
697	0.00316914
698	0.0035582
699	0.00325039
700	0.00399189
701	0.00527337
702	0.00510222
703	0.00376238
704	0.00328495
705	0.00466264
706	0.00390325
707	0.00369966
708	0.0057986
709	0.00383323
710	0.00343878
711	0.00402694
712	0.00352384
713	0.00556735
714	0.00384721
715	0.00578535
716	0.00302379
717	0.00463271
718	0.00487362
719	0.00513778
720	0.00446277
721	0.00447918
722	0.00502509
723	0.00382406
724	0.00574433
725	0.00408084
726	0.00369343
727	0.00470667
728	0.00257564
729	0.00604884
730	0.00409887
731	0.00422699
732	0.00428787
733	0.00581823
734	0.00410425
735	0.00289925
736	0.00305952
737	0.00510921
738	0.00393899
739	0.00480982
740	0.00357847
741	0.0047396
742	0.00461858
743	0.00325109
744	0.0035974
745	0.00521022
746	0.00391379
747	0.00555159
748	0.00362643
749	0.00401793
750	0.00492097
751	0.00301643
752	0.00355971
753	0.00542939
754	0.00377824
755	0.00322564
756	0.00335097
757	0.00414134
758	0.00493164
759	0.00447197
760	0.00589542
761	0.00422023
762	0.00623092
763	0.0046808
764	0.00528904
765	0.00317006
766	0.00332075
767	0.00644207
768	0.00321247
769	0.00332509
770	0.00706494
771	0.00584724
772	0.00389726
773	0.00222461
774	0.00487153
775	0.0062268
776	0.00460011
777	0.00376644
778	0.00254013
779	0.00387829
780	0.00476143
781	0.00514075
782	0.00458942
783	0.00272748
784	0.0044331
785	0.00556369
786	0.00193764
787	0.00238284
788	0.00446895
789	0.00358587
790	0.00379789
791	0.00498136
792	0.00426064
793	0.00354465
794	0.00566709
795	0.00298216
796	0.00421706
797	0.00401038
798	0.00361019
799	0.0039447
800	0.00355409
801	0.00572484
